model,strategy,precision,recall,f1,accuracy,mcc,auc,n
GPT-4o-mini,Zero-Shot,0.5605095541401274,0.88,0.6848249027237354,0.595,0.2312435068767785,0.60145,200
GPT-4o-mini,CoT,0.5512820512820513,0.86,0.671875,0.5778894472361809,0.18578547232101883,0.5874747474747475,199
Gemini 2.5 Flash,Zero-Shot,0.6923076923076923,0.27,0.38848920863309355,0.575,0.18929799651846663,0.5931499999999998,200
Gemini 2.5 Flash,CoT,0.7096774193548387,0.2222222222222222,0.3384615384615385,0.5656565656565656,0.1806775820130176,0.6508519538822569,198
Claude Haiku,Zero-Shot,0.6708860759493671,0.53,0.5921787709497207,0.635,0.27615793931820587,0.6969000000000001,200
Claude Haiku,CoT,0.65,0.5360824742268041,0.5875706214689266,0.6275510204081632,0.25762388078886617,0.6753097990211393,196
